Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
"Vimeo, Inc.",VMEO,"$1,106,225,596",$0.03,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
Gentherm Inc,THRM,"$1,097,922,942",$0.68,,time-pre-market,Dec/2024,3,,2025-02-19 03:27:36
Sprott Inc.,SII,"$1,092,216,742",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"MFA Financial, Inc.",MFA,"$1,087,179,274",$0.36,,time-pre-market,Dec/2024,3,,2025-02-19 03:27:36
"NerdWallet, Inc.",NRDS,"$1,022,269,028",$0.01,,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
"SolarEdge Technologies, Inc.",SEDG,"$948,064,192",($2.12),,time-pre-market,Dec/2024,10,,2025-02-19 03:27:36
"PRA Group, Inc.",PRAA,"$933,229,941",$0.45,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
ProPetro Holding Corp.,PUMP,"$906,811,062",($0.01),,time-pre-market,Dec/2024,4,,2025-02-19 03:27:36
Orion S.A.,OEC,"$832,902,760",$0.25,,time-not-supplied,Dec/2024,1,,2025-02-19 03:27:36
Borr Drilling Limited,BORR,"$790,581,772",,,time-after-hours,Dec/2024,10,,2025-02-19 03:27:36
Okeanis Eco Tankers Corp.,ECO,"$783,604,588",$0.22,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
Ferroglobe PLC,GSM,"$766,571,179",($0.01),,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
"Plymouth Industrial REIT, Inc.",PLYM,"$757,091,622",$0.46,,time-not-supplied,Dec/2024,3,,2025-02-19 03:27:36
"Armada Hoffler Properties, Inc.",AHH,"$755,496,645",$0.27,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Crescent Capital BDC, Inc.",CCAP,"$739,192,554",$0.56,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"LENZ Therapeutics, Inc.",LENZ,"$693,572,496",($0.41),,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Teekay Corporation Ltd.,TK,"$638,863,397",,,time-after-hours,Dec/2024,10,,2025-02-19 03:27:36
